category_id,model,fold_id,train_end,test_start,test_end,train_size,mape,smape,mae,rmse
17,naive,3,2017-03-13,2017-03-20,2017-04-10,116,24.156437158701802,21.363416378594845,111.0,114.58403030091061
17,naive,4,2017-04-10,2017-04-17,2017-05-08,120,10.094214673206228,10.644536694098116,53.0,59.602852280742404
17,naive,5,2017-05-08,2017-05-15,2017-06-05,124,10.910482400604307,11.755244723688508,56.25,65.18243628463115
17,naive,6,2017-06-05,2017-06-12,2017-07-03,128,13.275778409369849,13.806701385668848,65.0,68.75318174455637
17,naive,7,2017-07-03,2017-07-10,2017-07-31,132,9.688811263916685,9.170794736439337,48.0,51.31276644267
17,seasonal_naive,0,2016-12-19,2016-12-26,2017-01-16,104,5.302349371642849,5.544385291507803,26.5,34.007352146263905
17,seasonal_naive,1,2017-01-16,2017-01-23,2017-02-13,108,4.411913708382814,4.510526343258436,22.5,24.627220712049503
17,seasonal_naive,2,2017-02-13,2017-02-20,2017-03-13,112,10.590180141012711,11.151733859732047,59.75,71.5733889095661
17,seasonal_naive,3,2017-03-13,2017-03-20,2017-04-10,116,14.398787794440754,13.291733832037414,65.75,70.09101226262894
17,seasonal_naive,4,2017-04-10,2017-04-17,2017-05-08,120,10.021992927861948,9.359941269135993,47.25,58.989405828504495
17,seasonal_naive,5,2017-05-08,2017-05-15,2017-06-05,124,7.183965368884548,6.77249612052311,33.75,43.031964863343156
17,seasonal_naive,6,2017-06-05,2017-06-12,2017-07-03,128,9.12734869406349,8.469822856938269,39.75,51.69864601708637
17,seasonal_naive,7,2017-07-03,2017-07-10,2017-07-31,132,5.486722769441499,5.518692674847622,27.75,29.618406439239774
17,prophet,0,2016-12-19,2016-12-26,2017-01-16,104,4.100969815124995,4.159640542938213,21.15303741282449,21.31214237888032
17,prophet,1,2017-01-16,2017-01-23,2017-02-13,108,6.775013311964454,6.6218394115050385,34.64291746535446,41.83298369704864
17,prophet,2,2017-02-13,2017-02-20,2017-03-13,112,8.002430077308986,7.947399284079381,43.663515493044,46.379361783806246
17,prophet,3,2017-03-13,2017-03-20,2017-04-10,116,15.949084620785376,14.67460396907638,73.33425747546323,76.00144387904358
17,prophet,4,2017-04-10,2017-04-17,2017-05-08,120,8.466078985110148,7.970865460593213,40.279682259730805,52.45285084905278
17,prophet,5,2017-05-08,2017-05-15,2017-06-05,124,5.9614484824208445,5.697385038011684,28.131799604041248,35.78744045312466
17,prophet,6,2017-06-05,2017-06-12,2017-07-03,128,10.068421989555773,9.182926395554963,43.32322973835137,58.07186143518345
17,prophet,7,2017-07-03,2017-07-10,2017-07-31,132,2.521739973548397,2.484093311411618,12.286937275637072,16.702837679469543
17,sarima,0,2016-12-19,2016-12-26,2017-01-16,104,5.56355669544204,5.617146576578488,27.804698598313834,31.535691099982955
17,sarima,1,2017-01-16,2017-01-23,2017-02-13,108,16.5988596190955,16.738155476362365,85.51836896159776,94.97279880517267
17,sarima,2,2017-02-13,2017-02-20,2017-03-13,112,10.694267386941005,10.399713035821149,57.88427604637343,62.33151850326445
17,sarima,3,2017-03-13,2017-03-20,2017-04-10,116,17.30930109581981,15.70164944985628,79.21782894473105,85.79788968348069
17,sarima,4,2017-04-10,2017-04-17,2017-05-08,120,9.722497773086634,9.828813980363638,48.900898592699335,54.2230200149054
17,sarima,5,2017-05-08,2017-05-15,2017-06-05,124,3.9442509114379227,3.9867396445407004,19.792098635820736,22.92387863759232
17,sarima,6,2017-06-05,2017-06-12,2017-07-03,128,10.299696814089236,9.883307702055147,46.526244162295285,58.86511391444332
17,sarima,7,2017-07-03,2017-07-10,2017-07-31,132,5.818935402082306,6.060081881244207,29.576088039674616,36.24236690073145
43,naive,0,2016-12-19,2016-12-26,2017-01-16,104,9.482645232005845,10.141479222406952,9.5,11.423659658795863
43,naive,1,2017-01-16,2017-01-23,2017-02-13,108,8.306865909958693,8.256939985528385,8.25,8.902246907382429
43,naive,2,2017-02-13,2017-02-20,2017-03-13,112,6.124905009608055,5.891697852419946,6.25,7.262919523166975
43,naive,3,2017-03-13,2017-03-20,2017-04-10,116,6.756727550802623,6.52178675264401,6.5,7.106335201775948
43,naive,4,2017-04-10,2017-04-17,2017-05-08,120,11.517818703659414,12.333770620792523,12.75,13.738631664034086
43,naive,5,2017-05-08,2017-05-15,2017-06-05,124,21.28191966392901,18.912591097356923,19.25,20.73041244162788
43,naive,6,2017-06-05,2017-06-12,2017-07-03,128,9.164943460393047,9.67034967799661,9.25,10.988630487917955
43,naive,7,2017-07-03,2017-07-10,2017-07-31,132,6.1834225280326205,6.394810113740124,6.25,8.077747210701755
43,seasonal_naive,0,2016-12-19,2016-12-26,2017-01-16,104,7.432559980513945,7.15112866127342,7.0,8.74642784226795
43,seasonal_naive,1,2017-01-16,2017-01-23,2017-02-13,108,10.879434378145717,11.9519933727232,11.0,14.124446891825535
43,seasonal_naive,2,2017-02-13,2017-02-20,2017-03-13,112,10.861118823559737,11.52010015826161,11.5,11.874342087037917
43,seasonal_naive,3,2017-03-13,2017-03-20,2017-04-10,116,7.011683397362491,7.126869204486293,6.75,7.92148975887743
43,seasonal_naive,4,2017-04-10,2017-04-17,2017-05-08,120,15.446623614765208,16.842443857436358,16.75,17.327723451163457
43,seasonal_naive,5,2017-05-08,2017-05-15,2017-06-05,124,8.226246105919003,7.7047615094026325,7.5,9.513148795220223
43,seasonal_naive,6,2017-06-05,2017-06-12,2017-07-03,128,10.348832563269188,11.247991244622444,10.5,15.264337522473747
43,seasonal_naive,7,2017-07-03,2017-07-10,2017-07-31,132,2.875573394495413,2.851584653352339,2.75,3.122498999199199
43,prophet,0,2016-12-19,2016-12-26,2017-01-16,104,6.864389436672417,7.074269959439714,6.661518708243502,7.214646789360818
43,prophet,1,2017-01-16,2017-01-23,2017-02-13,108,9.300306671167604,9.629532916949875,9.566989067713557,10.628520900450859
43,prophet,2,2017-02-13,2017-02-20,2017-03-13,112,8.462734316544354,8.921370444343411,9.101126155466307,10.185831056344503
43,prophet,3,2017-03-13,2017-03-20,2017-04-10,116,7.627290799020867,7.371203904746879,7.385762937299738,8.011538414655336
43,prophet,4,2017-04-10,2017-04-17,2017-05-08,120,15.480886371959363,16.85262619495323,16.999520554236284,17.531744220210232
43,prophet,5,2017-05-08,2017-05-15,2017-06-05,124,12.14913394843583,11.307329508085145,10.934707206627412,12.111426176483004
43,prophet,6,2017-06-05,2017-06-12,2017-07-03,128,6.57066017322914,6.4506447757565715,6.214610166324874,7.374197082497773
43,prophet,7,2017-07-03,2017-07-10,2017-07-31,132,8.789944830908116,8.43199152174201,8.253243927402398,9.082002474062307
